Author,Recommender,Title,category,google_id,pages,publication_date
Rebecca Solnit,Matt Mullenweg | Sarah Lewis,A Field Guide to Getting Lost,['Biography & Autobiography'],mgK5EdIQDL4C,224.0,2006-06-27
Rohinton Mistry,Oprah Winfrey | Alicia Keys | Jacqueline Novogratz,A Fine Balance,['Fiction'],WcaFd95RABEC,624.0,2010-07-21
Jimmy Carter,Bill Gates | Richard Branson,A Full Life,['Biography & Autobiography'],G-upDAAAQBAJ,272.0,2016-07-19
George R. R. Martin,Elon Musk,A Game of Thrones,['FICTION'],HWQYDQAAQBAJ,896.0,2016
Amor Towles,Bill Gates | Barack Obama | Brian Koppelman,A Gentleman in Moscow,['Fiction'],-9CLDwAAQBAJ,496.0,2019-03
James Lord,Rainn Wilson,A Giacometti Portrait,['Art'],OIdxFO6USZYC,117.0,1980-07
Mark Shriver,Bryan Johnson,A Good Man,['Biography & Autobiography'],xt-i-rjJMjwC,288.0,2012-06-05
Jason DeParle,Fareed Zakaria,A Good Provider Is One Who Leaves,['History'],55x7DwAAQBAJ,400.0,2019-08-20
Ngugi wa Thiong'o,Barack Obama,A Grain of Wheat,['Fiction'],whsbJogawqEC,247.0,1986
Alexander J. Field Ph.D.,Patrick Collison,A Great Leap Forward,['Business & Economics'],n2tXIWa8PoYC,398.0,2011
Helmut Kopka,Eric Weinstein,A Guide to LATEX,['Computerized typesetting'],k5iOAQAACAAJ,436.0,1993
William B. Irvine,Marc Andreessen | Mr. Money Mustache | Tobi Lütke | Derek Sivers | David Heinemeier Hansson | Jason Fried | Phil Libin,A Guide to the Good Life,['Psychology'],yQ59JV_9AfIC,336.0,2008-11-04
Carol K. Anthony,Jimmy Chin,A Guide to the I Ching,"['Body, Mind & Spirit']",-VoMMQAACAAJ,314.0,1988
Dave Eggers,Ev Williams | Sam Altman,A Heartbreaking Work of Staggering Genius,['Biography & Autobiography'],OSfpEJpJzrIC,416.0,2013-02-12
James Comey,Marc Andreessen,A Higher Loyalty,['Biography & Autobiography'],4CovDwAAQBAJ,416.0,2018-04-17
Fernand Braudel,Stewart Brand,A History of Civilizations,['History'],im_HHEpf-msC,600.0,1995
Jürg Niehans,Eric Weinstein,A History of Economic Theory,['Business & Economics'],Qn8NBYTugoYC,578.0,1994-10
Mircea Eliade,Jordan Peterson,"A History of Religious Ideas, Vol. 1",['Religion'],RKjbAgAAQBAJ,510.0,2014-02-14
Mircea Eliade,Jordan Peterson,"A History of Religious Ideas, Vol. 2",['Religion'],qWBGxgEACAAJ,,1978
Mircea Eliade,Jordan Peterson,"A History of Religious Ideas, Vol. 3",['Religion'],hZ33xQEACAAJ,,1984
Moses Hadas,Paul Graham,A History of Rome,['Rome'],MaB6xwEACAAJ,305.0,1956
Friedrich Klemm,Nick Szabo,A History of Western Technology,['Science'],RPllAAAACAAJ,401.0,1964-07
Marcel Mazoyer,Sam Kass,A History of World Agriculture,['Business & Economics'],VDIVCgAAQBAJ,528.0,2006-06-01
Neil MacGregor,Stewart Brand,A History of the World in 100 Objects,['History'],P9yDiLwxJQ4C,736.0,2011-10-27
V. S. Naipaul,Barack Obama,A House for Mr. Biswas,['Fiction'],1A3vvT-HCfYC,576.0,2012-11-13
Franz Kafka,David Blaine,A Hunger Artist,['Fiction'],F_94DwAAQBAJ,8.0,2017-04-13
Ernest J. Gaines,Oprah Winfrey,A Lesson Before Dying,['Fiction'],cV-gTPZVm8wC,272.0,2004-01-20
J. Craig Venter,Sam Altman,A Life Decoded,['Biography & Autobiography'],XtPKtR6gev4C,400.0,2007-10-18
E. H. Gombrich,Tim Urban,A Little History of the World,['History'],N2C6BAAAQBAJ,304.0,2014-10-01
Hanya Yanagihara,Soman Chainani,A Little Life,['FICTION'],sL_ZCwAAQBAJ,816.0,2016
Philip Kerr,Lewis Cantley,A Man Without Breath,['Fiction'],drgNdsYUY9gC,480.0,2013-04-16
Peter Boghossian,Geoff Ralston,A Manual for Creating Atheists,['Religion'],MtpBAgAAQBAJ,271.0,2013-11-01
Epictetus,Neville Medhora,A Manual for Living,['Religion'],cofP7FbBfAgC,96.0,1994-06-23
Jane Hamilton,Oprah Winfrey,A Map of the World,['Fiction'],FLMf5wDLdAsC,400.0,2010-12-15
G. H. Hardy,Paul Graham,A Mathematician's Apology,['Mathematics'],beImvXUGD-MC,153.0,1992-01-31
Gino Segre,Charlie Munger,A Matter of Degrees,['Science'],pZ4RAQAAIAAJ,300.0,2002
Elbert Hubbard,Joe De Sena,A Message To Garcia,['American literature'],3DguAAAAYAAJ,11.0,1899
James Frey,Oprah Winfrey,A Million Little Pieces,['Biography & Autobiography'],MwNuYMr-3JsC,430.0,2004
Byron Katie,Tony Robbins | Graham Duncan,A Mind at Home with Itself,['Self-Help'],2kTKDQAAQBAJ,336.0,2017-09-19
Jimmy Soni,Bryan Johnson,A Mind at Play,['Biography & Autobiography'],ABlpDQAAQBAJ,384.0,2017-07-18
Gerald Jampolsky,Carlos Santana,A Mini Course for Life,['Family & Relationships'],Yo3XJwAACAAJ,60.0,2007
Eckhart Tolle,Oprah Winfrey | Aubrey Marcus,A New Earth,"['Body, Mind & Spirit']",46vZCwAAQBAJ,315.0,2005
Stephen Wolfram,Steve Jurvetson,A New Kind of Science,,W0GjvgEACAAJ,1193.0,2018-11-30
Jack Kornfield,Tara Brach,A Path with Heart,"['Body, Mind & Spirit']",DADATu5J_2YC,384.0,2009-10-21
Christopher Alexander,Naval Ravikant | Patrick Collison | Stewart Brand | Sam Altman | Gretchen Rubin | Liz Lambert,A Pattern Language,['Architecture'],FTpxDwAAQBAJ,,2018-09-20
David Fromkin,Larry Ellison,A Peace to End All Peace,['History'],OV0i1mJdNSwC,672.0,2010-08-03
Howard Zinn,Lisa Ling | Alex Honnold,A People's History of the United States,['History'],DhsiGEoATiMC,619.0,2012-11-01
Carl Zimmer,Jonathan Eisen,A Planet of Viruses,['Medical'],OlrjpWBBHGUC,109.0,2012-04-30
Matthieu Ricard,Eric Ripert,A Plea for the Animals,['Nature'],bTLuDAAAQBAJ,352.0,2016-10-04
Melvyn P. Leffler,Noam Chomsky,A Preponderance of Power,['History'],PV2mDwAAQBAJ,,2019-07-31
Kenneth E. Iverson,Alan Kay,A Programming Language,['Algorithms'],zR81AAAAIAAJ,286.0,1962
Philip Kerr,Lewis Cantley,A Quiet Flame,['Argentina'],uqEQtzwWBd4C,413.0,2008
